,OBJECTID,UtilityCompany,StartDateTime,ImpactedCustomers,County,FID,x,y,xp,yp,lon,lat,StartDate,StartTime
52,1193242.0,PGE,2020-04-05 18:50:37,1,ALAMEDA,,0.20744719111157472,0.5951363306308628,-13612165.145320022,4563109.66678603,-122.28016000000002,37.88440999999999,2020-04-05,18:50:37
51,1193239.0,PGE,2020-04-05 18:44:12,1,CONTRA COSTA,,0.23214728461927336,0.6051102548405796,-13585482.976571778,4575259.290032643,-122.04046999999997,37.97049999999999,2020-04-05,18:44:12
50,1193238.0,PGE,2020-04-05 18:35:20,1,PLACER,,0.33484398530333515,0.7184110481465056,-13474545.311631927,4713275.37309735,-121.04390000000001,38.941359999999996,2020-04-05,18:35:20
49,1193236.0,PGE,2020-04-05 18:42:00,81,PLACER,,0.32087862724850424,0.707812862222061,-13489631.32902423,4700365.31248609,-121.17941999999996,38.85109999999999,2020-04-05,18:42:00
48,1193235.0,PGE,2020-04-05 18:43:25,15,CONTRA COSTA,,0.22242965427267158,0.6106879548503183,-13595980.40455359,4582053.7023698585,-122.13477000000005,38.01859999999998,2020-04-05,18:43:25
47,1193234.0,PGE,2020-04-05 18:31:00,17,PLACER,,0.3274480751233213,0.7045466484109837,-13482534.71148616,4696386.610982742,-121.11567,38.82325999999998,2020-04-05,18:31:00
46,1193233.0,PGE,2020-04-05 18:32:17,2,COLUSA,,0.24931853323701603,0.7332048181448338,-13566933.809820896,4731296.2371121,-121.87384,39.06716,2020-04-05,18:32:17
45,1193224.0,PGE,2020-04-05 17:56:15,4,ALAMEDA,,0.20864051199613165,0.5935872433821143,-13610876.065616634,4561222.663631335,-122.26858000000001,37.871030000000005,2020-04-05,17:56:15
44,1193219.0,PGE,2020-04-05 18:08:44,1,SANTA CLARA,,0.24030164399706777,0.5302871552302473,-13576674.265265308,4484114.375423838,-121.96134,37.322210000000005,2020-04-05,18:08:44
39,1193211.0,PGE,2020-04-05 17:57:00,33,SAN LUIS OBISPO,,0.3735166503772511,0.29752291428968425,-13432769.33312703,4200575.241453221,-120.66862000000002,35.269569999999995,2020-04-05,17:57:00
40,1193214.0,SMUD,2020-04-05 17:36:25,1,SACRAMENTO,,0.30064029367550305,0.6865390067325743,-13511493.700978804,4674450.805440974,-121.37581302873897,38.6695740543869,2020-04-05,17:36:25
43,1193218.0,PGE,2020-04-05 18:04:00,315,SANTA CRUZ,,0.2324110930358927,0.49355444447207697,-13585197.998675348,4439368.838245624,-122.03791,37.00187999999998,2020-04-05,18:04:00
41,1193215.0,PGE,2020-04-05 18:10:34,1,SAN JOAQUIN,,0.3222996889927199,0.6220541320378938,-13488096.23324619,4595899.282873544,-121.16563,38.11651999999999,2020-04-05,18:10:34
53,1193251.0,PGE,2020-04-05 18:57:00,1,PLACER,,0.31625167494137507,0.7119737389325436,-13494629.57416085,4705433.837506434,-121.22432,38.88655,2020-04-05,18:57:00
42,1193217.0,PGE,2020-04-05 17:45:10,1,ALAMEDA,,0.23257803429953583,0.5532213535284596,-13585017.661100263,4512051.410328809,-122.03628999999998,37.52152,2020-04-05,17:45:10
249,1194413.0,PGE,2020-04-06 23:02:11,1,PLACER,,0.3021987242482087,0.7139298920522865,-13509810.21312033,4707816.7033592155,-121.36069000000002,38.903209999999994,2020-04-06,23:02:11
